"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"García, Luis",472610,"SD","FF","4-Seamer",0.8,1,"137",13.6,"34","0.267","0.367","0.342",18.8,17.6,24,"0.309","0.468","0.367",40
"Marsh, Alec",679525,"KC","SL","Slider",-0.7,-1,"133",9.9,"34","0.233","0.533","0.365",36.5,26.5,18.4,"0.253","0.45","0.345",47.6
"Weissert, Greg",669711,"NYY","SIFT","Sinker",2.3,3,"121",34.9,"34","0.276","0.31","0.314",11.3,2.9,8.3,"0.335","0.437","0.378",44.8
"Carlton, Drew",656290,"SD","FF","4-Seamer",1.4,2,"160",48.5,"34","0.133","0.267","0.217",34.5,41.2,24.6,"0.13","0.278","0.217",52.9
"Singer, Brady",663903,"KC","CH","Changeup",-1.2,-2,"164",6.3,"34","0.265","0.353","0.269",10.4,8.8,23.1,"0.288","0.382","0.29",41.9
"Avila, Pedro",658648,"SD","CUKC","Curveball",2,4,"188",21,"34","0.2","0.267","0.288",40.6,41.2,17.7,"0.2","0.247","0.254",31.3
"Winans, Allan",642216,"ATL","SIFT","Sinker",-1.3,-2,"135",25.3,"34","0.387","0.581","0.443",11.3,5.9,11.8,"0.338","0.505","0.389",34.5
"Hearn, Taylor",621368,"KC","FF","4-Seamer",-2.8,-4,"152",48.6,"34","0.393","0.679","0.5",25.7,23.5,15.1,"0.303","0.593","0.432",55
"Guerra, Javy",642770,"TB","SIFT","Sinker",-3.4,-4,"120",33.1,"34","0.333","0.5","0.44",7.1,2.9,10,"0.412","0.597","0.518",54.2
"Jax, Griffin",643377,"MIN","CH","Changeup",-2.9,-3,"93",8.9,"34","0.344","0.438","0.363",36.5,26.5,29,"0.254","0.321","0.277",30.4
"Senga, Kodai",673540,"NYM","SL","Slider",0.4,1,"164",5.9,"34","0.219","0.25","0.223",39.7,29.4,22.2,"0.248","0.426","0.297",43.5
